ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93621,3,2019,Elec- Agricultural,Y,0,0,NA
93622,1,2019,Elec- Agricultural,Y,0,0,NA
93622,2,2019,Elec- Agricultural,Y,0,0,NA
93622,3,2019,Elec- Agricultural,Y,0,0,NA
93623,1,2019,Elec- Agricultural,Y,0,0,NA
93623,2,2019,Elec- Agricultural,Y,0,0,NA
93623,3,2019,Elec- Agricultural,Y,0,0,NA
93625,1,2019,Elec- Agricultural,Y,0,0,NA
93625,2,2019,Elec- Agricultural,Y,0,0,NA
93625,3,2019,Elec- Agricultural,Y,0,0,NA
93626,1,2019,Elec- Agricultural,Y,0,0,NA
93626,2,2019,Elec- Agricultural,Y,0,0,NA
93626,3,2019,Elec- Agricultural,Y,0,0,NA
93627,1,2019,Elec- Agricultural,Y,0,0,NA
93627,2,2019,Elec- Agricultural,Y,0,0,NA
93627,3,2019,Elec- Agricultural,Y,0,0,NA
93628,1,2019,Elec- Agricultural,Y,0,0,NA
93628,2,2019,Elec- Agricultural,Y,0,0,NA
93628,3,2019,Elec- Agricultural,Y,0,0,NA
93630,1,2019,Elec- Agricultural,Y,0,0,NA
93630,2,2019,Elec- Agricultural,Y,0,0,NA
93630,3,2019,Elec- Agricultural,Y,0,0,NA
93631,1,2019,Elec- Agricultural,Y,0,0,NA
93631,2,2019,Elec- Agricultural,Y,0,0,NA
93631,3,2019,Elec- Agricultural,Y,1892,5709234,3018
93635,1,2019,Elec- Agricultural,Y,0,0,NA
93635,2,2019,Elec- Agricultural,Y,0,0,NA
93635,3,2019,Elec- Agricultural,Y,1657,21689827,13090
93636,1,2019,Elec- Agricultural,Y,0,0,NA
93636,2,2019,Elec- Agricultural,Y,0,0,NA
93636,3,2019,Elec- Agricultural,Y,0,0,NA
93637,1,2019,Elec- Agricultural,Y,2187,7922011,3622
93637,2,2019,Elec- Agricultural,Y,3021,12227206,4047
93637,3,2019,Elec- Agricultural,Y,1683,9890045,5876
93638,1,2019,Elec- Agricultural,Y,0,0,NA
93638,2,2019,Elec- Agricultural,Y,0,0,NA
93638,3,2019,Elec- Agricultural,Y,0,0,NA
93640,1,2019,Elec- Agricultural,Y,0,0,NA
93640,2,2019,Elec- Agricultural,Y,0,0,NA
93640,3,2019,Elec- Agricultural,Y,0,0,NA
93641,1,2019,Elec- Agricultural,Y,0,0,NA
93641,2,2019,Elec- Agricultural,Y,0,0,NA
93641,3,2019,Elec- Agricultural,Y,0,0,NA
93643,1,2019,Elec- Agricultural,Y,0,0,NA
93643,2,2019,Elec- Agricultural,Y,0,0,NA
93643,3,2019,Elec- Agricultural,Y,0,0,NA
93644,1,2019,Elec- Agricultural,Y,0,0,NA
93644,2,2019,Elec- Agricultural,Y,0,0,NA
93644,3,2019,Elec- Agricultural,Y,0,0,NA
93645,1,2019,Elec- Agricultural,Y,0,0,NA
93645,2,2019,Elec- Agricultural,Y,0,0,NA
93645,3,2019,Elec- Agricultural,Y,0,0,NA
93646,1,2019,Elec- Agricultural,Y,0,0,NA
93646,2,2019,Elec- Agricultural,Y,0,0,NA
93646,3,2019,Elec- Agricultural,Y,0,0,NA
93647,1,2019,Elec- Agricultural,Y,0,0,NA
93647,2,2019,Elec- Agricultural,Y,989,2826544,2858
93647,3,2019,Elec- Agricultural,Y,0,0,NA
93648,1,2019,Elec- Agricultural,Y,0,0,NA
93648,2,2019,Elec- Agricultural,Y,0,0,NA
93648,3,2019,Elec- Agricultural,Y,0,0,NA
93650,1,2019,Elec- Agricultural,Y,0,0,NA
93650,2,2019,Elec- Agricultural,Y,0,0,NA
93650,3,2019,Elec- Agricultural,Y,0,0,NA
93651,1,2019,Elec- Agricultural,Y,0,0,NA
93651,2,2019,Elec- Agricultural,Y,0,0,NA
93651,3,2019,Elec- Agricultural,Y,0,0,NA
93652,1,2019,Elec- Agricultural,Y,0,0,NA
93652,2,2019,Elec- Agricultural,Y,0,0,NA
93652,3,2019,Elec- Agricultural,Y,0,0,NA
93653,1,2019,Elec- Agricultural,Y,0,0,NA
93653,2,2019,Elec- Agricultural,Y,0,0,NA
93653,3,2019,Elec- Agricultural,Y,0,0,NA
93654,1,2019,Elec- Agricultural,Y,0,0,NA
93654,2,2019,Elec- Agricultural,Y,0,0,NA
93654,3,2019,Elec- Agricultural,Y,0,0,NA
93656,1,2019,Elec- Agricultural,Y,0,0,NA
93656,2,2019,Elec- Agricultural,Y,0,0,NA
93656,3,2019,Elec- Agricultural,Y,0,0,NA
93657,1,2019,Elec- Agricultural,Y,0,0,NA
93657,2,2019,Elec- Agricultural,Y,0,0,NA
93657,3,2019,Elec- Agricultural,Y,1635,3541188,2166
93660,1,2019,Elec- Agricultural,Y,0,0,NA
93660,2,2019,Elec- Agricultural,Y,0,0,NA
