ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93728,3,2020,Gas- Commercial,Y,0,0,NA
93730,1,2020,Gas- Commercial,Y,0,0,NA
93730,2,2020,Gas- Commercial,Y,0,0,NA
93730,3,2020,Gas- Commercial,Y,0,0,NA
93737,1,2020,Gas- Commercial,Y,0,0,NA
93737,2,2020,Gas- Commercial,Y,0,0,NA
93737,3,2020,Gas- Commercial,Y,0,0,NA
93740,1,2020,Gas- Commercial,Y,0,0,NA
93740,2,2020,Gas- Commercial,Y,0,0,NA
93740,3,2020,Gas- Commercial,Y,0,0,NA
93741,1,2020,Gas- Commercial,Y,0,0,NA
93741,2,2020,Gas- Commercial,Y,0,0,NA
93741,3,2020,Gas- Commercial,Y,0,0,NA
93901,1,2020,Gas- Commercial,Y,9451,5034254,533
93901,2,2020,Gas- Commercial,Y,0,0,NA
93901,3,2020,Gas- Commercial,Y,0,0,NA
93905,1,2020,Gas- Commercial,Y,0,0,NA
93905,2,2020,Gas- Commercial,Y,0,0,NA
93905,3,2020,Gas- Commercial,Y,0,0,NA
93906,1,2020,Gas- Commercial,Y,0,0,NA
93906,2,2020,Gas- Commercial,Y,0,0,NA
93906,3,2020,Gas- Commercial,Y,0,0,NA
93907,1,2020,Gas- Commercial,Y,0,0,NA
93907,2,2020,Gas- Commercial,Y,0,0,NA
93907,3,2020,Gas- Commercial,Y,0,0,NA
93908,1,2020,Gas- Commercial,N,122,632702,5186
93908,2,2020,Gas- Commercial,Y,0,0,NA
93908,3,2020,Gas- Commercial,Y,0,0,NA
93921,1,2020,Gas- Commercial,N,165,59384,360
93921,2,2020,Gas- Commercial,N,163,53629,329
93921,3,2020,Gas- Commercial,N,162,40943,253
93923,1,2020,Gas- Commercial,Y,0,0,NA
93923,2,2020,Gas- Commercial,Y,543,247234,455
93923,3,2020,Gas- Commercial,Y,439,161707,368
93924,1,2020,Gas- Commercial,Y,0,0,NA
93924,2,2020,Gas- Commercial,Y,0,0,NA
93924,3,2020,Gas- Commercial,Y,0,0,NA
93925,1,2020,Gas- Commercial,Y,0,0,NA
93925,2,2020,Gas- Commercial,Y,0,0,NA
93925,3,2020,Gas- Commercial,Y,0,0,NA
93926,1,2020,Gas- Commercial,Y,104,23440,225
93926,2,2020,Gas- Commercial,Y,0,0,NA
93926,3,2020,Gas- Commercial,Y,0,0,NA
93927,1,2020,Gas- Commercial,Y,0,0,NA
93927,2,2020,Gas- Commercial,Y,0,0,NA
93927,3,2020,Gas- Commercial,Y,0,0,NA
93930,1,2020,Gas- Commercial,Y,521,246309,473
93930,2,2020,Gas- Commercial,Y,538,243701,453
93930,3,2020,Gas- Commercial,Y,640,288070,450
93933,1,2020,Gas- Commercial,Y,0,0,NA
93933,2,2020,Gas- Commercial,Y,0,0,NA
93933,3,2020,Gas- Commercial,Y,0,0,NA
93940,1,2020,Gas- Commercial,Y,1833,1159669,633
93940,2,2020,Gas- Commercial,Y,0,0,NA
93940,3,2020,Gas- Commercial,Y,0,0,NA
93944,1,2020,Gas- Commercial,Y,0,0,NA
93944,2,2020,Gas- Commercial,Y,0,0,NA
93944,3,2020,Gas- Commercial,Y,0,0,NA
93950,1,2020,Gas- Commercial,Y,0,0,NA
93950,2,2020,Gas- Commercial,Y,0,0,NA
93950,3,2020,Gas- Commercial,Y,0,0,NA
93953,1,2020,Gas- Commercial,Y,0,0,NA
93953,2,2020,Gas- Commercial,Y,0,0,NA
93953,3,2020,Gas- Commercial,Y,0,0,NA
93955,1,2020,Gas- Commercial,Y,0,0,NA
93955,2,2020,Gas- Commercial,Y,0,0,NA
93955,3,2020,Gas- Commercial,Y,0,0,NA
93960,1,2020,Gas- Commercial,Y,0,0,NA
93960,2,2020,Gas- Commercial,Y,0,0,NA
93960,3,2020,Gas- Commercial,Y,0,0,NA
94002,1,2020,Gas- Commercial,Y,0,0,NA
94002,2,2020,Gas- Commercial,Y,0,0,NA
94002,3,2020,Gas- Commercial,Y,0,0,NA
94005,1,2020,Gas- Commercial,Y,0,0,NA
94005,2,2020,Gas- Commercial,Y,0,0,NA
94005,3,2020,Gas- Commercial,Y,0,0,NA
94010,1,2020,Gas- Commercial,N,825,538366,653
94010,2,2020,Gas- Commercial,N,826,432630,524
94010,3,2020,Gas- Commercial,Y,1054,461318,438
94014,1,2020,Gas- Commercial,Y,551,373381,678
94014,2,2020,Gas- Commercial,Y,0,0,NA
94014,3,2020,Gas- Commercial,Y,0,0,NA
94015,1,2020,Gas- Commercial,Y,446,397226,891
94015,2,2020,Gas- Commercial,Y,0,0,NA
94015,3,2020,Gas- Commercial,Y,0,0,NA
94019,1,2020,Gas- Commercial,Y,0,0,NA
94019,2,2020,Gas- Commercial,N,231,91298,395
94019,3,2020,Gas- Commercial,Y,0,0,NA
94022,1,2020,Gas- Commercial,Y,0,0,NA
94022,2,2020,Gas- Commercial,Y,0,0,NA
94022,3,2020,Gas- Commercial,Y,0,0,NA
94024,1,2020,Gas- Commercial,Y,0,0,NA
94024,2,2020,Gas- Commercial,Y,0,0,NA
94024,3,2020,Gas- Commercial,Y,0,0,NA
94025,1,2020,Gas- Commercial,Y,1086,1175352,1082
94025,2,2020,Gas- Commercial,Y,1084,952533,879
94025,3,2020,Gas- Commercial,Y,2365,1826345,772
94027,1,2020,Gas- Commercial,Y,0,0,NA
94027,2,2020,Gas- Commercial,Y,0,0,NA
94027,3,2020,Gas- Commercial,Y,0,0,NA
94028,1,2020,Gas- Commercial,Y,0,0,NA
94028,2,2020,Gas- Commercial,Y,0,0,NA
94028,3,2020,Gas- Commercial,Y,0,0,NA
94030,1,2020,Gas- Commercial,Y,275,217138,790
94030,2,2020,Gas- Commercial,Y,276,191833,695
94030,3,2020,Gas- Commercial,Y,276,162615,589
94038,1,2020,Gas- Commercial,Y,0,0,NA
94038,2,2020,Gas- Commercial,Y,0,0,NA
94038,3,2020,Gas- Commercial,Y,0,0,NA
94040,1,2020,Gas- Commercial,Y,0,0,NA
94040,2,2020,Gas- Commercial,Y,0,0,NA
94040,3,2020,Gas- Commercial,Y,0,0,NA
94041,1,2020,Gas- Commercial,Y,0,0,NA
94041,2,2020,Gas- Commercial,Y,0,0,NA
94041,3,2020,Gas- Commercial,Y,0,0,NA
94043,1,2020,Gas- Commercial,Y,1931,2310281,1196
94043,2,2020,Gas- Commercial,Y,1928,1825552,947
94043,3,2020,Gas- Commercial,Y,0,0,NA
94044,1,2020,Gas- Commercial,Y,315,107333,341
94044,2,2020,Gas- Commercial,Y,317,93592,295
94044,3,2020,Gas- Commercial,Y,316,82910,262
