CUSTOMERCLASS,DATE,TOTALKBTU
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,6486153.138
Elec- Commercial,2017-02-01,5336470.202
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,25487200.192
Elec- Commercial,2017-02-01,22294460.034
Elec- Commercial,2017-03-01,23380570.884
Elec- Commercial,2017-01-01,29963576.172
Elec- Commercial,2017-02-01,26992428.706
Elec- Commercial,2017-03-01,29807349.648
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,7722363.612
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,10139114.604
Elec- Commercial,2017-02-01,15555108.826
Elec- Commercial,2017-03-01,20105799.39
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,3962809.796
Elec- Commercial,2017-02-01,3272810.886
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,6212400.104
Elec- Commercial,2017-02-01,5392696.292
Elec- Commercial,2017-03-01,4715648.706
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,4132678.884
Elec- Commercial,2017-02-01,3694288.192
Elec- Commercial,2017-03-01,4040304.084
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,7129597.034
Elec- Commercial,2017-01-01,7824032.448
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,16515464.268
Elec- Commercial,2017-02-01,14086195.548
Elec- Commercial,2017-03-01,13680337.124
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,24415881.878
Elec- Commercial,2017-02-01,20913186.562
Elec- Commercial,2017-03-01,21849731.928
Elec- Commercial,2017-01-01,13692741.74
Elec- Commercial,2017-02-01,11959080.4
Elec- Commercial,2017-03-01,19058266.016
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,2345339.616
Elec- Commercial,2017-01-01,119801.318
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,18523356.226
Elec- Commercial,2017-02-01,15856024.45
Elec- Commercial,2017-03-01,8821799.684
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,4424551.832
Elec- Commercial,2017-02-01,3939188.24
Elec- Commercial,2017-03-01,5076265.472
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,2303305.94
Elec- Commercial,2017-02-01,2016309.376
Elec- Commercial,2017-03-01,2252835.994
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,18495112.788
Elec- Commercial,2017-02-01,16179854.68
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,16466065.744
Elec- Commercial,2017-02-01,14518773.54
Elec- Commercial,2017-03-01,23124321.932
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,13365954.888
Elec- Commercial,2017-02-01,11460941.436
Elec- Commercial,2017-03-01,19037937.276
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,4812585.69
Elec- Commercial,2017-02-01,4333594.074
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,12226115.838
Elec- Commercial,2017-02-01,11051724.214
Elec- Commercial,2017-03-01,12365381.846
Elec- Commercial,2017-01-01,15707989.12
Elec- Commercial,2017-02-01,14114504.968
Elec- Commercial,2017-03-01,9827723.552
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,5873758.486
Elec- Commercial,2017-01-01,41245357.626
Elec- Commercial,2017-02-01,36919411.18
Elec- Commercial,2017-03-01,32027216.636
Elec- Commercial,2017-01-01,31339784.74
Elec- Commercial,2017-02-01,28027032.75
Elec- Commercial,2017-03-01,32085167.684
Elec- Commercial,2017-01-01,28437641.878
Elec- Commercial,2017-02-01,25428432.224
Elec- Commercial,2017-03-01,29011942.922
Elec- Commercial,2017-01-01,41973214.494
Elec- Commercial,2017-02-01,38179271.488
Elec- Commercial,2017-03-01,41970873.704
Elec- Commercial,2017-01-01,36339963.54
Elec- Commercial,2017-02-01,32838151.126
Elec- Commercial,2017-03-01,42800525.088
Elec- Commercial,2017-01-01,29436238.602
Elec- Commercial,2017-02-01,26442173.388
Elec- Commercial,2017-03-01,30050515.312
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,33363147.906
Elec- Commercial,2017-02-01,30562199.438
Elec- Commercial,2017-03-01,33940581.524
Elec- Commercial,2017-01-01,19835326.604
Elec- Commercial,2017-02-01,17594961.208
Elec- Commercial,2017-03-01,19907212.422
Elec- Commercial,2017-01-01,37462788.66
Elec- Commercial,2017-02-01,33535951.622
