CUSTOMERCLASS,DATE,TOTALKBTU
Gas- Commercial,2017-03-01,73638796.1204
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,15614167.3219
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,10601765.5723
Gas- Commercial,2017-01-01,5350520.9198
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,10728635.2432
Gas- Commercial,2017-03-01,10220456.7269
Gas- Commercial,2017-01-01,10465298.1958
Gas- Commercial,2017-02-01,7789537.8554
Gas- Commercial,2017-03-01,7139993.1337
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,39177434.3548
Gas- Commercial,2017-03-01,37587214.5082
Gas- Commercial,2017-01-01,17597993.0742
Gas- Commercial,2017-02-01,12903715.2748
Gas- Commercial,2017-03-01,12631480.3545
Gas- Commercial,2017-01-01,24416762.9986
Gas- Commercial,2017-02-01,19246199.0588
Gas- Commercial,2017-03-01,19959028.6518
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,6607920.3295
Gas- Commercial,2017-03-01,6498746.4283
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,12629580.8086
Gas- Commercial,2017-03-01,11418270.381
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,50487230.6673
Gas- Commercial,2017-03-01,46948976.5122
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,16217123.181
Gas- Commercial,2017-03-01,16844173.2802
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,183248393.1642
Gas- Commercial,2017-02-01,128489383.6961
Gas- Commercial,2017-03-01,121071157.0761
Gas- Commercial,2017-01-01,9941523.4079
Gas- Commercial,2017-02-01,7712056.3779
Gas- Commercial,2017-03-01,7536298.3941
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,13524766.808
Gas- Commercial,2017-03-01,12460321.2713
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,37300583.0295
Gas- Commercial,2017-03-01,35004431.9408
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,23363414.809
Gas- Commercial,2017-03-01,21368891.614
Gas- Commercial,2017-01-01,717580357.2959
Gas- Commercial,2017-02-01,116212618.5444
Gas- Commercial,2017-03-01,115301436.369
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,25711453.4936
Gas- Commercial,2017-02-01,17782249.0265
Gas- Commercial,2017-03-01,15496795.3805
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,35786345.0189
Gas- Commercial,2017-02-01,27731070.6897
Gas- Commercial,2017-03-01,28085885.8686
Gas- Commercial,2017-01-01,53421629.1784
Gas- Commercial,2017-02-01,39501556.871
Gas- Commercial,2017-03-01,38732640.6859
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,5401308.7786
Gas- Commercial,2017-01-01,32800858.7207
Gas- Commercial,2017-02-01,24820266.5382
Gas- Commercial,2017-03-01,23038892.3884
Gas- Commercial,2017-01-01,54735115.1802
Gas- Commercial,2017-02-01,41747120.0531
Gas- Commercial,2017-03-01,40279970.7856
Gas- Commercial,2017-01-01,29166027.653
Gas- Commercial,2017-02-01,21665820.631
Gas- Commercial,2017-03-01,15941689.0255
Gas- Commercial,2017-01-01,42247500.4336
Gas- Commercial,2017-02-01,30258466.4977
Gas- Commercial,2017-03-01,29478352.9894
Gas- Commercial,2017-01-01,47614117.5055
Gas- Commercial,2017-02-01,25828825.435
Gas- Commercial,2017-03-01,24665803.4637
Gas- Commercial,2017-01-01,38814321.1596
Gas- Commercial,2017-02-01,28426904.3457
Gas- Commercial,2017-03-01,29330688.2897
Gas- Commercial,2017-01-01,27085325.0598
Gas- Commercial,2017-02-01,21545749.3349
Gas- Commercial,2017-03-01,21262317.0914
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,22497621.783
Gas- Commercial,2017-03-01,22463929.8373
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,18140363.4167
Gas- Commercial,2017-03-01,17292965.9931
Gas- Commercial,2017-01-01,16302402.7943
Gas- Commercial,2017-02-01,13020087.4552
Gas- Commercial,2017-03-01,13196945.1761
Gas- Commercial,2017-01-01,0
Gas- Commercial,2017-02-01,0
Gas- Commercial,2017-03-01,0
Gas- Commercial,2017-01-01,68689779.2182
Gas- Commercial,2017-02-01,23389908.4755
Gas- Commercial,2017-03-01,20146583.8154
Gas- Commercial,2017-01-01,10055596.138
