ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
94531,8,2017,Elec- Industrial,Y,0,0,NA
94531,9,2017,Elec- Industrial,Y,0,0,NA
94533,7,2017,Elec- Industrial,Y,0,0,NA
94533,8,2017,Elec- Industrial,Y,0,0,NA
94533,9,2017,Elec- Industrial,Y,0,0,NA
94534,7,2017,Elec- Industrial,Y,0,0,NA
94534,8,2017,Elec- Industrial,Y,0,0,NA
94534,9,2017,Elec- Industrial,Y,0,0,NA
94535,7,2017,Elec- Industrial,Y,0,0,NA
94535,8,2017,Elec- Industrial,Y,0,0,NA
94535,9,2017,Elec- Industrial,Y,0,0,NA
94538,7,2017,Elec- Industrial,Y,0,0,NA
94538,8,2017,Elec- Industrial,Y,0,0,NA
94538,9,2017,Elec- Industrial,Y,0,0,NA
94539,7,2017,Elec- Industrial,Y,0,0,NA
94539,8,2017,Elec- Industrial,Y,0,0,NA
94539,9,2017,Elec- Industrial,Y,0,0,NA
94542,7,2017,Elec- Industrial,Y,0,0,NA
94542,8,2017,Elec- Industrial,Y,0,0,NA
94542,9,2017,Elec- Industrial,Y,0,0,NA
94544,7,2017,Elec- Industrial,Y,0,0,NA
94544,8,2017,Elec- Industrial,Y,0,0,NA
94544,9,2017,Elec- Industrial,Y,0,0,NA
94545,7,2017,Elec- Industrial,Y,0,0,NA
94545,8,2017,Elec- Industrial,Y,0,0,NA
94545,9,2017,Elec- Industrial,Y,0,0,NA
94546,7,2017,Elec- Industrial,Y,0,0,NA
94546,8,2017,Elec- Industrial,Y,0,0,NA
94546,9,2017,Elec- Industrial,Y,0,0,NA
94549,7,2017,Elec- Industrial,Y,0,0,NA
94549,8,2017,Elec- Industrial,Y,0,0,NA
94549,9,2017,Elec- Industrial,Y,0,0,NA
94550,7,2017,Elec- Industrial,Y,0,0,NA
94550,8,2017,Elec- Industrial,Y,0,0,NA
94550,9,2017,Elec- Industrial,Y,0,0,NA
94551,7,2017,Elec- Industrial,Y,0,0,NA
94551,8,2017,Elec- Industrial,Y,0,0,NA
94551,9,2017,Elec- Industrial,Y,0,0,NA
94553,7,2017,Elec- Industrial,Y,0,0,NA
94553,8,2017,Elec- Industrial,Y,0,0,NA
94553,9,2017,Elec- Industrial,Y,0,0,NA
94555,7,2017,Elec- Industrial,Y,0,0,NA
94555,8,2017,Elec- Industrial,Y,0,0,NA
94555,9,2017,Elec- Industrial,Y,0,0,NA
94556,7,2017,Elec- Industrial,Y,0,0,NA
94556,8,2017,Elec- Industrial,Y,0,0,NA
94556,9,2017,Elec- Industrial,Y,0,0,NA
94558,7,2017,Elec- Industrial,Y,0,0,NA
94558,8,2017,Elec- Industrial,Y,0,0,NA
94558,9,2017,Elec- Industrial,Y,0,0,NA
94560,7,2017,Elec- Industrial,Y,0,0,NA
94560,8,2017,Elec- Industrial,Y,0,0,NA
94560,9,2017,Elec- Industrial,Y,0,0,NA
94561,7,2017,Elec- Industrial,Y,0,0,NA
94561,8,2017,Elec- Industrial,Y,0,0,NA
94561,9,2017,Elec- Industrial,Y,0,0,NA
94563,7,2017,Elec- Industrial,Y,0,0,NA
94563,8,2017,Elec- Industrial,Y,0,0,NA
94563,9,2017,Elec- Industrial,Y,0,0,NA
94565,7,2017,Elec- Industrial,Y,0,0,NA
94565,8,2017,Elec- Industrial,Y,0,0,NA
94565,9,2017,Elec- Industrial,Y,0,0,NA
94566,7,2017,Elec- Industrial,Y,0,0,NA
94566,8,2017,Elec- Industrial,Y,0,0,NA
94566,9,2017,Elec- Industrial,Y,0,0,NA
94568,7,2017,Elec- Industrial,Y,0,0,NA
94568,8,2017,Elec- Industrial,Y,0,0,NA
94568,9,2017,Elec- Industrial,Y,0,0,NA
94572,7,2017,Elec- Industrial,Y,0,0,NA
94572,8,2017,Elec- Industrial,Y,0,0,NA
94572,9,2017,Elec- Industrial,Y,0,0,NA
94574,7,2017,Elec- Industrial,Y,0,0,NA
94574,8,2017,Elec- Industrial,Y,0,0,NA
94574,9,2017,Elec- Industrial,Y,0,0,NA
94576,7,2017,Elec- Industrial,Y,0,0,NA
94576,8,2017,Elec- Industrial,Y,0,0,NA
94576,9,2017,Elec- Industrial,Y,0,0,NA
94577,7,2017,Elec- Industrial,Y,0,0,NA
94577,8,2017,Elec- Industrial,Y,0,0,NA
94577,9,2017,Elec- Industrial,Y,0,0,NA
94578,7,2017,Elec- Industrial,Y,0,0,NA
94578,8,2017,Elec- Industrial,Y,0,0,NA
94578,9,2017,Elec- Industrial,Y,0,0,NA
94580,7,2017,Elec- Industrial,Y,0,0,NA
94580,8,2017,Elec- Industrial,Y,0,0,NA
94580,9,2017,Elec- Industrial,Y,0,0,NA
94583,7,2017,Elec- Industrial,Y,0,0,NA
94583,8,2017,Elec- Industrial,Y,0,0,NA
94583,9,2017,Elec- Industrial,Y,0,0,NA
94585,7,2017,Elec- Industrial,Y,0,0,NA
94585,8,2017,Elec- Industrial,Y,0,0,NA
94585,9,2017,Elec- Industrial,Y,0,0,NA
94586,7,2017,Elec- Industrial,Y,0,0,NA
94586,8,2017,Elec- Industrial,Y,0,0,NA
94586,9,2017,Elec- Industrial,Y,0,0,NA
94587,7,2017,Elec- Industrial,Y,0,0,NA
94587,8,2017,Elec- Industrial,Y,0,0,NA
94587,9,2017,Elec- Industrial,Y,0,0,NA
94588,7,2017,Elec- Industrial,Y,0,0,NA
94588,8,2017,Elec- Industrial,Y,0,0,NA
94588,9,2017,Elec- Industrial,Y,0,0,NA
94589,7,2017,Elec- Industrial,Y,0,0,NA
94589,8,2017,Elec- Industrial,Y,0,0,NA
94589,9,2017,Elec- Industrial,Y,0,0,NA
94590,7,2017,Elec- Industrial,Y,0,0,NA
94590,8,2017,Elec- Industrial,Y,0,0,NA
94590,9,2017,Elec- Industrial,Y,0,0,NA
94596,7,2017,Elec- Industrial,Y,0,0,NA
94596,8,2017,Elec- Industrial,Y,0,0,NA
94596,9,2017,Elec- Industrial,Y,0,0,NA
94597,7,2017,Elec- Industrial,Y,0,0,NA
94597,8,2017,Elec- Industrial,Y,0,0,NA
94597,9,2017,Elec- Industrial,Y,0,0,NA
94598,7,2017,Elec- Industrial,Y,0,0,NA
94598,8,2017,Elec- Industrial,Y,0,0,NA
94598,9,2017,Elec- Industrial,Y,0,0,NA
94599,7,2017,Elec- Industrial,Y,0,0,NA
94599,8,2017,Elec- Industrial,Y,0,0,NA
94599,9,2017,Elec- Industrial,Y,0,0,NA
94601,7,2017,Elec- Industrial,Y,0,0,NA
94601,8,2017,Elec- Industrial,Y,0,0,NA
94601,9,2017,Elec- Industrial,Y,0,0,NA
94602,7,2017,Elec- Industrial,Y,0,0,NA
94602,8,2017,Elec- Industrial,Y,0,0,NA
94602,9,2017,Elec- Industrial,Y,0,0,NA
94605,7,2017,Elec- Industrial,Y,0,0,NA
94605,8,2017,Elec- Industrial,Y,0,0,NA
94605,9,2017,Elec- Industrial,Y,0,0,NA
94606,7,2017,Elec- Industrial,Y,0,0,NA
94606,8,2017,Elec- Industrial,Y,0,0,NA
94606,9,2017,Elec- Industrial,Y,0,0,NA
94607,7,2017,Elec- Industrial,Y,0,0,NA
94607,8,2017,Elec- Industrial,Y,0,0,NA
94607,9,2017,Elec- Industrial,Y,0,0,NA
94608,7,2017,Elec- Industrial,Y,0,0,NA
94608,8,2017,Elec- Industrial,Y,0,0,NA
94608,9,2017,Elec- Industrial,Y,0,0,NA
94609,7,2017,Elec- Industrial,Y,0,0,NA
94609,8,2017,Elec- Industrial,Y,0,0,NA
94609,9,2017,Elec- Industrial,Y,0,0,NA
94611,7,2017,Elec- Industrial,Y,0,0,NA
94611,8,2017,Elec- Industrial,Y,0,0,NA
94611,9,2017,Elec- Industrial,Y,0,0,NA
94612,7,2017,Elec- Industrial,Y,0,0,NA
94612,8,2017,Elec- Industrial,Y,0,0,NA
94612,9,2017,Elec- Industrial,Y,0,0,NA
94618,7,2017,Elec- Industrial,Y,0,0,NA
94618,8,2017,Elec- Industrial,Y,0,0,NA
94618,9,2017,Elec- Industrial,Y,0,0,NA
94621,7,2017,Elec- Industrial,Y,0,0,NA
94621,8,2017,Elec- Industrial,Y,0,0,NA
94621,9,2017,Elec- Industrial,Y,0,0,NA
94705,7,2017,Elec- Industrial,Y,0,0,NA
94705,8,2017,Elec- Industrial,Y,0,0,NA
94705,9,2017,Elec- Industrial,Y,0,0,NA
94706,7,2017,Elec- Industrial,Y,0,0,NA
94706,8,2017,Elec- Industrial,Y,0,0,NA
94706,9,2017,Elec- Industrial,Y,0,0,NA
94710,7,2017,Elec- Industrial,Y,0,0,NA
94710,8,2017,Elec- Industrial,Y,0,0,NA
94710,9,2017,Elec- Industrial,Y,0,0,NA
94801,7,2017,Elec- Industrial,Y,0,0,NA
94801,8,2017,Elec- Industrial,Y,0,0,NA
94801,9,2017,Elec- Industrial,Y,0,0,NA
94804,7,2017,Elec- Industrial,Y,0,0,NA
94804,8,2017,Elec- Industrial,Y,0,0,NA
94804,9,2017,Elec- Industrial,Y,0,0,NA
94806,7,2017,Elec- Industrial,Y,0,0,NA
94806,8,2017,Elec- Industrial,Y,0,0,NA
94806,9,2017,Elec- Industrial,Y,0,0,NA
94901,7,2017,Elec- Industrial,Y,0,0,NA
94901,8,2017,Elec- Industrial,Y,0,0,NA
94901,9,2017,Elec- Industrial,Y,0,0,NA
94903,7,2017,Elec- Industrial,Y,0,0,NA
94903,8,2017,Elec- Industrial,Y,0,0,NA
94903,9,2017,Elec- Industrial,Y,0,0,NA
94904,7,2017,Elec- Industrial,Y,0,0,NA
94904,8,2017,Elec- Industrial,Y,0,0,NA
94904,9,2017,Elec- Industrial,Y,0,0,NA
94928,7,2017,Elec- Industrial,Y,0,0,NA
94928,8,2017,Elec- Industrial,Y,0,0,NA
94928,9,2017,Elec- Industrial,Y,0,0,NA
94941,7,2017,Elec- Industrial,Y,0,0,NA
94941,8,2017,Elec- Industrial,Y,0,0,NA
94941,9,2017,Elec- Industrial,Y,0,0,NA
94945,7,2017,Elec- Industrial,Y,0,0,NA
94945,8,2017,Elec- Industrial,Y,0,0,NA
94945,9,2017,Elec- Industrial,Y,0,0,NA
94946,7,2017,Elec- Industrial,Y,0,0,NA
94946,8,2017,Elec- Industrial,Y,0,0,NA
94946,9,2017,Elec- Industrial,Y,0,0,NA
94949,7,2017,Elec- Industrial,Y,0,0,NA
94949,8,2017,Elec- Industrial,Y,0,0,NA
94949,9,2017,Elec- Industrial,Y,0,0,NA
94952,7,2017,Elec- Industrial,Y,0,0,NA
94952,8,2017,Elec- Industrial,Y,0,0,NA
94952,9,2017,Elec- Industrial,Y,0,0,NA
