ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94089,1,2021,Gas- Commercial,Y,0,0,NA
94089,2,2021,Gas- Commercial,Y,0,0,NA
94089,3,2021,Gas- Commercial,Y,0,0,NA
94102,1,2021,Gas- Commercial,N,504,320557,636
94102,2,2021,Gas- Commercial,N,503,304991,606
94102,3,2021,Gas- Commercial,N,503,343538,683
94103,1,2021,Gas- Commercial,N,1130,486934,431
94103,2,2021,Gas- Commercial,N,1133,443444,391
94103,3,2021,Gas- Commercial,N,1128,531286,471
94104,1,2021,Gas- Commercial,Y,0,0,NA
94104,2,2021,Gas- Commercial,Y,0,0,NA
94104,3,2021,Gas- Commercial,Y,0,0,NA
94105,1,2021,Gas- Commercial,N,178,370364,2081
94105,2,2021,Gas- Commercial,N,179,315041,1760
94105,3,2021,Gas- Commercial,N,180,388147,2156
94107,1,2021,Gas- Commercial,Y,802,583194,727
94107,2,2021,Gas- Commercial,Y,800,513121,641
94107,3,2021,Gas- Commercial,Y,806,590744,733
94108,1,2021,Gas- Commercial,N,461,169787,368
94108,2,2021,Gas- Commercial,N,461,151829,329
94108,3,2021,Gas- Commercial,N,458,157956,345
94109,1,2021,Gas- Commercial,N,688,292919,426
94109,2,2021,Gas- Commercial,N,688,276010,401
94109,3,2021,Gas- Commercial,N,687,312291,455
94110,1,2021,Gas- Commercial,N,1091,276975,254
94110,2,2021,Gas- Commercial,N,1094,253585,232
94110,3,2021,Gas- Commercial,N,1092,287971,264
94111,1,2021,Gas- Commercial,Y,323,433639,1343
94111,2,2021,Gas- Commercial,Y,323,381378,1181
94111,3,2021,Gas- Commercial,Y,323,423272,1310
94112,1,2021,Gas- Commercial,N,482,155203,322
94112,2,2021,Gas- Commercial,N,481,146956,306
94112,3,2021,Gas- Commercial,N,479,165918,346
94114,1,2021,Gas- Commercial,Y,537,102157,190
94114,2,2021,Gas- Commercial,Y,535,107410,201
94114,3,2021,Gas- Commercial,Y,533,109448,205
94115,1,2021,Gas- Commercial,N,472,227297,482
94115,2,2021,Gas- Commercial,N,472,199091,422
94115,3,2021,Gas- Commercial,N,473,223902,473
94116,1,2021,Gas- Commercial,Y,433,156953,362
94116,2,2021,Gas- Commercial,Y,432,144602,335
94116,3,2021,Gas- Commercial,Y,0,0,NA
94117,1,2021,Gas- Commercial,N,397,112983,285
94117,2,2021,Gas- Commercial,N,398,103237,259
94117,3,2021,Gas- Commercial,N,397,121163,305
94118,1,2021,Gas- Commercial,Y,624,276216,443
94118,2,2021,Gas- Commercial,Y,624,245083,393
94118,3,2021,Gas- Commercial,Y,624,287893,461
94121,1,2021,Gas- Commercial,N,330,74350,225
94121,2,2021,Gas- Commercial,N,331,66661,201
94121,3,2021,Gas- Commercial,N,330,80415,244
94122,1,2021,Gas- Commercial,N,561,127318,227
94122,2,2021,Gas- Commercial,N,564,117975,209
94122,3,2021,Gas- Commercial,Y,843,209977,249
94123,1,2021,Gas- Commercial,N,481,92020,191
94123,2,2021,Gas- Commercial,N,482,89754,186
94123,3,2021,Gas- Commercial,N,483,106280,220
94124,1,2021,Gas- Commercial,Y,863,287358,333
94124,2,2021,Gas- Commercial,Y,861,246696,287
94124,3,2021,Gas- Commercial,Y,863,278672,323
94127,1,2021,Gas- Commercial,N,238,47403,199
94127,2,2021,Gas- Commercial,N,237,42471,179
94127,3,2021,Gas- Commercial,N,237,49078,207
94128,1,2021,Gas- Commercial,Y,0,0,NA
94128,2,2021,Gas- Commercial,Y,0,0,NA
94128,3,2021,Gas- Commercial,Y,0,0,NA
94129,1,2021,Gas- Commercial,Y,0,0,NA
94129,2,2021,Gas- Commercial,Y,0,0,NA
94129,3,2021,Gas- Commercial,Y,0,0,NA
94131,1,2021,Gas- Commercial,Y,0,0,NA
94131,2,2021,Gas- Commercial,Y,0,0,NA
94131,3,2021,Gas- Commercial,Y,0,0,NA
94132,1,2021,Gas- Commercial,Y,0,0,NA
94132,2,2021,Gas- Commercial,Y,0,0,NA
94132,3,2021,Gas- Commercial,N,156,90752,582
94133,1,2021,Gas- Commercial,N,601,169545,282
94133,2,2021,Gas- Commercial,N,605,164163,271
94133,3,2021,Gas- Commercial,N,606,189685,313
94134,1,2021,Gas- Commercial,Y,0,0,NA
94134,2,2021,Gas- Commercial,Y,0,0,NA
94134,3,2021,Gas- Commercial,Y,0,0,NA
94158,1,2021,Gas- Commercial,Y,0,0,NA
94158,2,2021,Gas- Commercial,Y,0,0,NA
94158,3,2021,Gas- Commercial,Y,0,0,NA
94303,1,2021,Gas- Commercial,Y,0,0,NA
94303,2,2021,Gas- Commercial,Y,0,0,NA
94303,3,2021,Gas- Commercial,Y,0,0,NA
94304,1,2021,Gas- Commercial,Y,0,0,NA
94304,2,2021,Gas- Commercial,Y,0,0,NA
94304,3,2021,Gas- Commercial,Y,0,0,NA
94305,1,2021,Gas- Commercial,Y,0,0,NA
94305,2,2021,Gas- Commercial,Y,0,0,NA
94305,3,2021,Gas- Commercial,Y,0,0,NA
94306,1,2021,Gas- Commercial,Y,0,0,NA
94306,2,2021,Gas- Commercial,Y,0,0,NA
94306,3,2021,Gas- Commercial,Y,0,0,NA
94401,1,2021,Gas- Commercial,Y,2384,1555352,652
94401,2,2021,Gas- Commercial,Y,0,0,NA
94401,3,2021,Gas- Commercial,Y,0,0,NA
94402,1,2021,Gas- Commercial,Y,0,0,NA
94402,2,2021,Gas- Commercial,Y,0,0,NA
94402,3,2021,Gas- Commercial,Y,0,0,NA
94403,1,2021,Gas- Commercial,Y,0,0,NA
94403,2,2021,Gas- Commercial,Y,0,0,NA
94403,3,2021,Gas- Commercial,Y,0,0,NA
94404,1,2021,Gas- Commercial,Y,0,0,NA
94404,2,2021,Gas- Commercial,Y,0,0,NA
94404,3,2021,Gas- Commercial,Y,0,0,NA
94501,1,2021,Gas- Commercial,N,750,365411,487
94501,2,2021,Gas- Commercial,N,750,293386,391
94501,3,2021,Gas- Commercial,N,748,325438,435
94502,1,2021,Gas- Commercial,N,100,119541,1195
94502,2,2021,Gas- Commercial,Y,0,0,NA
94502,3,2021,Gas- Commercial,Y,0,0,NA
94503,1,2021,Gas- Commercial,Y,0,0,NA
94503,2,2021,Gas- Commercial,Y,0,0,NA
94503,3,2021,Gas- Commercial,Y,0,0,NA
94505,1,2021,Gas- Commercial,Y,0,0,NA
94505,2,2021,Gas- Commercial,Y,0,0,NA
94505,3,2021,Gas- Commercial,Y,0,0,NA
94506,1,2021,Gas- Commercial,Y,0,0,NA
94506,2,2021,Gas- Commercial,Y,0,0,NA
94506,3,2021,Gas- Commercial,Y,0,0,NA
94507,1,2021,Gas- Commercial,Y,0,0,NA
94507,2,2021,Gas- Commercial,Y,0,0,NA
94507,3,2021,Gas- Commercial,Y,0,0,NA
94508,1,2021,Gas- Commercial,Y,0,0,NA
94508,2,2021,Gas- Commercial,Y,0,0,NA
94508,3,2021,Gas- Commercial,Y,0,0,NA
94509,1,2021,Gas- Commercial,Y,0,0,NA
94509,2,2021,Gas- Commercial,Y,0,0,NA
94509,3,2021,Gas- Commercial,Y,0,0,NA
94510,1,2021,Gas- Commercial,N,539,165142,306
94510,2,2021,Gas- Commercial,N,537,130641,243
94510,3,2021,Gas- Commercial,N,539,139308,258
94513,1,2021,Gas- Commercial,Y,1176,388927,331
94513,2,2021,Gas- Commercial,Y,0,0,NA
94513,3,2021,Gas- Commercial,Y,0,0,NA
94514,1,2021,Gas- Commercial,Y,0,0,NA
94514,2,2021,Gas- Commercial,Y,0,0,NA
94514,3,2021,Gas- Commercial,Y,0,0,NA
94515,1,2021,Gas- Commercial,Y,0,0,NA
94515,2,2021,Gas- Commercial,Y,0,0,NA
94515,3,2021,Gas- Commercial,Y,0,0,NA
94517,1,2021,Gas- Commercial,Y,0,0,NA
94517,2,2021,Gas- Commercial,Y,0,0,NA
94517,3,2021,Gas- Commercial,Y,0,0,NA
94518,1,2021,Gas- Commercial,Y,0,0,NA
94518,2,2021,Gas- Commercial,Y,468,205748,440
94518,3,2021,Gas- Commercial,Y,0,0,NA
94519,1,2021,Gas- Commercial,Y,484,152974,316
94519,2,2021,Gas- Commercial,Y,0,0,NA
94519,3,2021,Gas- Commercial,Y,480,131083,273
94520,1,2021,Gas- Commercial,Y,3042,1353371,445
94520,2,2021,Gas- Commercial,Y,6420,2282749,356
94520,3,2021,Gas- Commercial,Y,6057,2396603,396
94521,1,2021,Gas- Commercial,Y,0,0,NA
94521,2,2021,Gas- Commercial,Y,0,0,NA
